FirstName,LastName,Steet Address,City,State,ZIP,PhoneNumber 
Meagan,Osborne,95 Wommert Ln,Passadena,CA,91109,(818) xxx-xxxx
Leonard,Greene,44 Orrand Dr,Wichita,KS,67276,(316) xxx-xxxx
Martin,May,45 Hamlet St,Mentor,OH,44060,(216) xxx-xxxx
Alvaro,Mayer,196 Maple Ln,Detroit,MI,48233, (313) xxx-xxxx
Teresa,Cummings, 404 Bryant Blvd,Massillon,OH,44646,(216) xxx-xxxx
Eddie,Peck,225 Cedarwood Ln,Minneapolis,MN,55401,(612) xxx-xxxx
Krystal,Durham,500 Wommert Ln,Gary,IN,46401,(219) xxx-xxxx
Marion,Cardenas,230 Spring County Blvd,Emporia,KS,66801,(316) xxx-xxxx
Inez,Witt,859 Tomkins Blcd,Chicago,IL, 60607,(312) xxx-xxxx
Jerrod,Kane,308 Third St,Detroit,MI,48233,(313) xxx-xxxx
John,Smith,412 W fouth St,Temple,TX,76501,(510) xxx-xxxx
Brian,Hurst,123 N Front St,Portland,OR,97217,503-xxx-xxxx
Billy,Bob,544 Buena Vista Dr ,Garland,TX,75042,210-xxx-xxxx
Rob,Barnes,123 Rainy St,San Bernadino,CA,92411,303-xxx-xxxx
Josh,Johnson,233 N Spokane St,Seattle,WA,97218,(206)xxx-xxxx
jimmy,house,123 myhouse ,Eager ,AZ,78224,505-xxx-xxxx
mr. Shit,Shit,456 S Orcas St,Seattle,WA,98118,506-xxx-xxxx
